,Algorithm,$|\hat{\mathrm{MMD}}^2|$,num_samples,n,Rounds
0,std::shuffle,0.000858,100000,5,1
1,std::shuffle,0.000858,100000,5,2
2,std::shuffle,0.000858,100000,5,3
3,std::shuffle,0.000858,100000,5,4
4,std::shuffle,0.000858,100000,5,5
5,std::shuffle,0.000858,100000,5,6
6,std::shuffle,0.000858,100000,5,7
7,std::shuffle,0.000858,100000,5,8
8,std::shuffle,0.000858,100000,5,9
9,std::shuffle,0.000858,100000,5,10
10,std::shuffle,0.000858,100000,5,11
11,std::shuffle,0.000858,100000,5,12
12,std::shuffle,0.000858,100000,5,13
13,std::shuffle,0.000858,100000,5,14
14,std::shuffle,0.000858,100000,5,15
15,std::shuffle,0.000858,100000,5,16
16,std::shuffle,0.000858,100000,5,17
17,std::shuffle,0.000858,100000,5,18
18,std::shuffle,0.000858,100000,5,19
19,std::shuffle,0.000858,100000,5,20
20,std::shuffle,0.000858,100000,5,21
21,std::shuffle,0.000858,100000,5,22
22,std::shuffle,0.000858,100000,5,23
23,std::shuffle,1.3e-05,100000,100,1
24,std::shuffle,1.3e-05,100000,100,2
25,std::shuffle,1.3e-05,100000,100,3
26,std::shuffle,1.3e-05,100000,100,4
27,std::shuffle,1.3e-05,100000,100,5
28,std::shuffle,1.3e-05,100000,100,6
29,std::shuffle,1.3e-05,100000,100,7
30,std::shuffle,1.3e-05,100000,100,8
31,std::shuffle,1.3e-05,100000,100,9
32,std::shuffle,1.3e-05,100000,100,10
33,std::shuffle,1.3e-05,100000,100,11
34,std::shuffle,1.3e-05,100000,100,12
35,std::shuffle,1.3e-05,100000,100,13
36,std::shuffle,1.3e-05,100000,100,14
37,std::shuffle,1.3e-05,100000,100,15
38,std::shuffle,1.3e-05,100000,100,16
39,std::shuffle,1.3e-05,100000,100,17
40,std::shuffle,1.3e-05,100000,100,18
41,std::shuffle,1.3e-05,100000,100,19
42,std::shuffle,1.3e-05,100000,100,20
43,std::shuffle,1.3e-05,100000,100,21
44,std::shuffle,1.3e-05,100000,100,22
45,std::shuffle,1.3e-05,100000,100,23
